	TARGET.30.PAITCI.01	TARGET.30.PAITEG.01	TARGET.30.PAIVHE.01	TARGET.30.PALBFW.01	TARGET.30.PALCBW.01	TARGET.30.PALETP.01	TARGET.30.PALIIN.01	TARGET.30.PALNVP.01	TARGET.30.PALTEG.01	TARGET.30.PALUYS.01	TARGET.30.PALWVJ.01	TARGET.30.PALXTB.01	TARGET.30.PAMYCE.01	TARGET.30.PANBJH.01	TARGET.30.PANBSP.01	TARGET.30.PANKFE.01	TARGET.30.PANNMS.01	TARGET.30.PANRHJ.01	TARGET.30.PANRRW.01	TARGET.30.PANRVJ.01	TARGET.30.PANUIF.01	TARGET.30.PANWRR.01	TARGET.30.PANYGR.01	TARGET.30.PANZPV.01	TARGET.30.PANZVU.01	TARGET.30.PAPBGH.01	TARGET.30.PAPBZI.01	TARGET.30.PAPEAV.01	TARGET.30.PAPHPE.01	TARGET.30.PAPKXS.01	TARGET.30.PAPLSD.01	TARGET.30.PAPUAR.01	TARGET.30.PAPUEB.01	TARGET.30.PAPUWY.01	TARGET.30.PAPVFD.01	TARGET.30.PAPVXS.01	TARGET.30.PARACS.01	TARGET.30.PARBGP.01	TARGET.30.PARDIW.01	TARGET.30.PARFWB.01	TARGET.30.PARGKK.01	TARGET.30.PARHAM.01	TARGET.30.PARHAM.02	TARGET.30.PARKGJ.01	TARGET.30.PARSBI.01	TARGET.30.PARYNK.01	TARGET.30.PARZIP.01	TARGET.30.PASFGG.01	TARGET.30.PASMNT.01	TARGET.30.PASNEF.01	TARGET.30.PASPER.01	TARGET.30.PASRFS.01	TARGET.30.PASSRS.01	TARGET.30.PASTCN.01	TARGET.30.PASTKC.01	TARGET.30.PASUCB.01	TARGET.30.PASUYG.01	TARGET.30.PASWIJ.01	TARGET.30.PASXHE.01	TARGET.30.PASXRJ.01	TARGET.30.PASYPX.01	TARGET.30.PATCFL.01	TARGET.30.PATDXC.01	TARGET.30.PATFCY.01	TARGET.30.PATGLU.01	TARGET.30.PATHVK.01	TARGET.30.PATINJ.01	TARGET.30.PATNKP.02	TARGET.30.PATYIL.01	TARGET.30.PATYIL.02
CD8+ Tcm	0	0	0.0043	0	0	0	0	0	0.0099	0	0	0	0.0012	0	0	0	0.0205	0	0.0178	0	0	0	0	0	0	0	0	0	0	0	0	0.0284	0.0388	0.0612	0.0206	0	0	0	0.0247	0	0	0	0	0	0	0.0376	0.0081	0.0773	0	0	0	0	0	0	0	0	0	0.0253	0	0.0203	0.0534	0	0.0486	0	0	0	0.0011	0	0	0
CD8+ Tem	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0277	0	0	0	0	0	0	0.0048	0	0	0	0	0	0	0.0077	0	0	0	0	0	0	0	0	0	0.0073	0	0	0	0	0.0056	0	0	0	0	0	0	0
CD8+ naive T-cells	0.0171	0	0.0211	0.0021	0	0.014	0.0087	0	0.0293	0	0.0124	0.0119	0.0042	0	0.0092	0	0.0289	0	0.0051	0	8e-04	0	0.011	0	0.0118	0	0	0.0078	0.0142	0.0077	0.0057	0.0113	0.0315	0.0123	0.0172	0.0183	0.0302	0.0054	0.0292	0.0113	0.0045	0.0051	0.0013	0.0123	0.0052	0.0423	0.0108	0.0385	0.0281	0.0155	0	0.0021	0	0.032	0	0	0.0201	0.0216	0.019	0.0144	0.03	0.0163	0.0169	0.0041	0.0181	0.0089	0.0283	0	0.0078	5e-04
CLP	0.0189	0	0	0	0	0.0033	0	0.0096	0.0068	0	0.0089	0.0036	0.0022	0.0043	0.0372	0	0.0026	0	0	0	0	0	0.0123	0	0.0039	0.0217	0	0.003	0.0035	0	0	0	0	0.0034	9e-04	0	0.0021	2e-04	0	0	0	0.0037	0.008	0.0029	0	0.004	0	0.0102	0	0	0.0057	0	0	0	0.0023	0	0	0	0.0039	0	0.0095	0.0104	0.0048	0	0.001	0.0111	0	0.0345	0.0214	0.0297
CMP	0	0	0	0	0.0102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0062	0	0	0	0	0.0084	0	0	0	0.0166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chondrocytes	0.0221	0.1228	0	0	0.0996	0.0029	0	0	0.0095	0	0	0	0.0043	0	0	0.0871	0	0.019	0	0.1038	0	0	0	0.0794	0.0351	0.011	0	0	0	0	0.0035	0	0	0	0	0	0	0	0	0	0.0101	0	0.01	0.0436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8e-04
Class-switched memory B-cells	0	0	0.0994	0.0743	0	0.0745	0.0816	0.0729	0.03	0.007	0	0.0975	0.0023	0	0	0.0012	0.0208	0	0.0371	0.0402	0.0523	0.0103	0	0.0193	0.1359	0	0	0.0039	0.0948	0.0908	0	0.1022	0.1298	0.0386	0.0606	0.0113	0.0977	0.0398	0.1763	0.0874	0.0283	0.0565	0.0913	0.0087	0.068	0.0781	0.0735	0.0423	0.0792	0.0703	0	0.1083	0	0.0705	0.0021	0	0	0.0417	0.0066	0.1867	0.0559	0.0325	0.0354	0.0305	0.0618	0	0.0023	0	0.0014	0
DC	0.0249	0.0721	0.0352	0.0373	0.0344	0.0381	0.0426	0	0.0849	0.0435	0.0422	0.0579	0.0278	0.0093	0	0.0155	0.074	0.0238	0.0385	0.019	0.0115	0	0.0056	0.0126	0.0329	0	0.0151	0.0175	0.0339	0.0369	0.0421	0.0588	0.0536	0.0621	0.0617	0.0803	0.0563	0.0416	0.1133	0.0974	0.0196	0	0.0176	0.0637	0.072	0.0443	0.0263	0.0627	0.0369	0.0276	0.011	0.094	0	0.0871	0.0579	0	0	0.0873	0.0453	0.0612	0.0463	0.0145	0.0475	0.004	0.0512	0.0132	0.0464	0	0.017	0.0195
Endothelial cells	0.0098	0.0336	0.0516	0.105	0.0659	0.0086	0.021	0.011	0.0927	0.0337	0	0.0095	0.0824	0.001	0.0161	0.092	0.0438	0.0443	0.04	0.0705	0.1234	0.0073	0.011	0.0188	0.0585	0.0648	0.0397	0.0035	0	0	0.042	0.0039	0.0183	0.071	0	0.0208	0.0652	0.011	0	0	0.0459	0	0	0.0677	0.0782	0	0	0.0514	0	0.0043	0.009	1e-04	0.0468	0.0087	0.0107	0	0	0.0902	0	0.0475	0.0228	0.006	0.0737	0.0163	0.0198	0.0357	0.0316	0	0	0.0109
Eosinophils	0	0.0061	0	4e-04	0	0	0	0	0	3e-04	0	0	0	0	0	0	0	0	0	0.005	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0.0144	0	0	0	0	0.0039	0	0	0.0047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Epithelial cells	0.0042	0.1027	0.0348	0.0043	0.044	0.0035	0	0	0.0059	0	1e-04	0.0016	0	0	0	0.029	0	0.0182	0.0016	0.0354	0.0164	0	0	0.0053	0	2e-04	0	1e-04	2e-04	0	0.0076	0	0.002	0.0047	0	0.0045	0	0	0	0	0.0065	0	0	0.0408	0.0078	0	0	0.0017	0	0.0017	0.0133	0	0	3e-04	0.0234	0.0021	0	0.0043	0	0.004	0	0.0015	0.0081	0	0.0073	0	2e-04	0	7e-04	0
Erythrocytes	0	0	0	0	0	0	0	0	0	5e-04	9e-04	0	0	0	0.0058	0	0	0	0	0	0	0	0	0	5e-04	0.0019	0	0	0	0.002	0	0	0	0	0	3e-04	0	0	0	0	0.0044	0	0	0	0	0.0029	0	0	0	0	0	0	0	0	6e-04	0	0.0014	6e-04	0.0037	0	8e-04	0	0.0026	0	0.001	0.0024	0	0.0123	0	0.0039
Fibroblasts	0.0446	0.3528	0.106	0.0112	0.3043	0	0	0	0.0807	0	0.0273	0.0128	0.1048	0.0114	0	0.1637	0	0.035	0	0.1593	0	0	0.0026	0.0699	0.0303	0.0493	0	0	0	0	0.077	0	0	0	0	0	0	0	0	0	0.0032	0	0	0.1185	0.0078	0	0	0.0355	0	0	0	0	0	0.0175	0.193	0.0212	0	0.0189	0	0	0	0	0.0148	0	0.0118	0	0	0.0068	0	0.0019
GMP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0068	0	0	0	0	0	5e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HSC	0.0758	0.3468	0.2942	0.2555	0.3987	0.0176	0.0973	0.0167	0.354	0	0.0044	0.1142	0.224	0.0729	0.0785	0.2314	0.1425	0.1083	0.0371	0.3339	0.1627	0	0.1153	0.044	0.2144	0.2686	0.0264	0.021	0	0.0628	0.0972	0.0679	0.119	0.2187	0.0597	0.041	0.1003	0.0159	0.0965	0.1072	0.0679	0.0638	0.0085	0.2054	0.2361	0.0219	0.0083	0.2079	0.0059	0.1297	0.1107	0.1786	0.1408	0.2369	0.2443	0	0.0137	0.3575	0.0142	0.1811	0.1609	0.0272	0.2485	0.045	0.101	0.116	0.0934	0.2847	0.0073	0.1247
Hepatocytes	0	0.0194	0.0029	0.0033	0	0	0.0064	0.0019	0.0038	0.0016	0	0	0.0021	0	0.0023	0.0018	0	0.0049	0	0.0018	0.0031	0	0.0035	0	0	0.0043	0.0028	0	0	2e-04	7e-04	0	0	0	0	0	0	5e-04	0	0	0	4e-04	0	0.001	0.0022	0	0	0	0	0	9e-04	0	0.0023	0	0	0.0011	0	0	0	0	0	0	0	1e-04	0	6e-04	0	0	0	0
Keratinocytes	0	9e-04	0	0	0	4e-04	0	0	0	0	0	0.0011	0	0	0	5e-04	0	0.003	0	0.0027	0.0055	0	0.0031	0	0	0	0	0.0024	0	0	5e-04	0	3e-04	0	0.0011	0	0.002	0.0011	0.0031	0.0034	5e-04	0	0	0.0018	0.0073	0	0	0.002	0	0.0012	0.0042	0	0	0.0077	0.0011	0	0	1e-04	0	0	0	0	0	0	0.0015	3e-04	0.0031	0	0	0
MEP	0.1129	0.0046	0.0549	0.0207	0	0.1012	0.0804	0.0674	0.1055	0.0862	0.0608	0.0441	0.0473	0.0651	0.1164	0	0.0962	0.0768	0	0.0118	0.0448	0.0715	0.1137	0.0377	1e-04	0.1483	0.0817	0.124	0	0.0797	0.0936	0.0263	0.0405	0.0622	0.0436	0.0683	0.0213	0.023	0.0409	0.0924	0.0037	0.0262	0.0115	0.0381	0.0536	0.0236	0.046	0.0904	0.0713	0.1096	0.0677	0.026	0.0652	0.0786	0.0261	0.1068	0.0934	0.0538	0.053	0.0011	0.0843	0.0712	0.0717	0.089	0.0803	0.0574	0.1031	0.0648	0.065	0.1011
MPP	0	0	0	0	0	0.0349	0.0169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0037	0.0446	0	0	0	0	0	0.0079	0	0	0	0	0	0	0.0053	0	0	0	0	0	0.0379	0	0	0	0	0	0	0	0.0561	0	0	0	0	0	0	0	0	0	0
MSC	0	0	0.2281	0.1619	0	0.2132	0.206	0.0406	0.2688	0.2069	0.0782	0.1796	0.0148	0.1218	0	0	0.1597	0.2043	0.1084	0.0292	0.2435	0.2522	0.0783	0	0	0	0.1844	0.1702	0.1114	0.2909	0.1389	0.2009	0.2085	0.1832	0.1851	0.1866	0.29	0.0526	0.3154	0.2545	0.0216	0.1197	0	0.1613	0.2357	0.2863	0.2928	0.1844	0.1735	0.3017	0.0936	0.2481	0.2733	0.2714	0.2626	0.1395	0.2202	0.2807	0.1899	0.2648	0.0665	0.3549	0.3472	0.2932	0.1885	0.2494	0.3607	0	0.2271	0
Macrophages	0.0187	0.2953	0	0.0079	0.0843	0.017	0.0144	0.0271	0.0187	0.0152	0.0286	0.083	0.0037	0.0074	0	0.1005	0.0082	0	0	0.0154	0.0252	0	0.0096	0.0023	0.0227	0	0	0.0529	0.0242	0	0.0404	0.006	5e-04	0.0285	0.0023	0.0661	0.0054	0.009	0.0093	0.0084	0.0281	0.0229	0.0225	0.1252	0.1169	0.0097	0	0.0253	0.0295	0.0163	0	0.0163	0	0.0072	0.0553	0	0	0.0214	0.008	0.0175	0.0213	0.0177	0.0431	0.0056	0.0045	0.0154	0.0176	0	0.0092	0.0344
Macrophages M1	0.013	0.1365	0.0151	0.0108	0.0513	0.0169	0.0065	0.0058	0.0104	0.0109	0.0167	0.0393	0.0117	3e-04	0	0.0529	0.0019	0.0013	0.0059	0.009	0.0246	0	0.007	0.0023	0.0097	0	0	0.0369	0.0025	0	0.026	0	0	0.0239	0	0.0632	0	0.0101	0	0	0.0152	0.011	0.006	0.041	0.0696	0	0	0.019	0.0117	0.006	0	0.011	0	0	0.044	0	8e-04	0.0163	0	0.0051	0.0149	0.0091	0.0159	0.0044	9e-04	0.0092	0.0213	0	0.0079	0.026
Macrophages M2	0.0121	0.2253	0.0071	0.0105	0.0631	0.0018	0.0059	0.0342	0.0139	0.0104	0	0.0246	0.0071	0.0085	3e-04	0.0992	0.0013	0.0096	0.0122	0.0102	0.0122	0	0	0	0.0101	0	0.0035	0.0148	0.0126	0.0031	0.0388	0.003	0.0085	0.0273	0.0035	0	0.0177	0.0029	0.0239	0.0073	0.0302	0.0158	0.0445	0.1028	0.0528	0.014	0.0081	0.0131	0.0107	0.0077	0.0066	0.0158	0.0079	0.0045	0.0223	0	0	0.0109	0.0086	0.0242	0.0104	0.0105	0.0292	0.0073	0.0124	0.0047	9e-04	0.0092	0.0028	0
Mast cells	5e-04	0.0022	0	0	0	0.002	0	0.0085	0	0.0019	0.0022	0.0032	0	0.0031	0	0	0	0.0013	0	0	0	0.0088	0.0057	0	0	0	4e-04	0	0.009	0.0013	6e-04	0.0039	0	0	0.0049	0	0.0049	0.0055	0	0.0078	5e-04	0.0026	0.0052	0	5e-04	0.0023	0.008	6e-04	0.0057	3e-04	0.0053	0.0096	0.0019	0	0	0	0.0016	0	0.001	0.0056	0	0.0011	0.006	0.0037	0	0	3e-04	0	0.0086	0
Megakaryocytes	9e-04	0.0212	0.0156	0.0089	0.0385	0	0.0049	0	0.0128	0.0076	0	0.0052	0.0052	0	0.008	0.0294	0.0038	0.006	0.0036	0.0052	0.0185	0.0053	0.0029	0.004	0.0033	0.0059	0.0026	0	0	0.0046	0.0064	0	0.0067	0.0021	4e-04	2e-04	0.0116	0.0018	0.0028	0.0012	0	0	0	0.001	0.0082	0	0	0.0098	0.0064	0	0.0032	0.0021	0.0071	0.0043	0	0	0	0.0103	0	0.0123	0.002	0.0011	0.0093	0	9e-04	0.003	0.0041	0	0.0011	0
Melanocytes	0	0.0421	0.015	0.0169	0.1236	0.0086	0.0099	0.018	0.0034	0.0056	1e-04	0.0284	0.0193	0.0033	0	0.0891	0.0016	0.0179	0.0399	0.0653	0.0198	0.0053	0.0017	0.0343	0.0098	0	0.0142	0.0144	0.0199	0.0098	0.0097	0.007	0.0019	0.0163	0.0195	0.0011	0.007	0.015	0.0092	0.0037	0.008	0.0213	0.0174	0.0048	0.0246	0.0021	0.0158	0.0011	0.0079	0.002	0.018	0.012	0.0092	0.0027	0.051	0.0012	5e-04	0.0029	8e-04	0.0068	0.0091	0.0014	0.0108	0.0033	0.0045	0.0114	7e-04	0	0.0091	0.0094
Memory B-cells	0	0	0	0	0	0.0694	0.1674	0	0.0142	0	0	0	0	0	0	0	0.0164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0995	0.2286	0	0.0426	0	0	0.0364	0.0903	0	0	0	0	0	0.0384	0	0.0369	0.0652	0	0.0028	0	0.2956	0	0	0	0	0	0.0112	0	0.2825	0.0489	0	0.0818	0	0	0	0	0	0	0
Mesangial cells	0.0384	0.075	0.0599	0.0577	0.1068	0	0.0179	0.0134	0.0211	0.027	0.0368	0.0416	0.0549	0.0209	0	0.0847	0.0156	0.048	0.0257	0.08	0.0317	0	0.0032	0.0534	0.0073	0.0196	0	0.0062	0.0287	0.0203	0.0253	0.0276	0	0.0017	0.0152	0.0066	0.0048	0.0231	0	0	0.0528	0.0264	0.0317	0.0544	0.0289	0	0	0.0178	0	0	0.015	0.0218	0	0.0143	0.0557	0.0114	0	0.0236	0.0068	0.0167	0	8e-04	0	0	0.0198	0.0074	0	0	0.0053	0.0128
Monocytes	0.0514	0.291	0.0392	0.062	0.0552	0.0554	0.018	0	0.0626	0.0376	0.0265	0.0606	0.0588	0	0	0.1616	0.0369	0.0192	0.0564	0.0473	0.0403	0	0	0.016	0.0126	0	0	0.014	0.044	0	0.0888	0.0453	0.0528	0.1749	0.0228	0.1287	0.0217	0.0539	0.0773	0.0102	0.0456	0.0184	0.0121	0.2229	0.1643	0.0121	0	0.151	0.0388	0.0117	0.0474	0.0748	0	0.0272	0.051	0	0	0.0525	0.0185	0.0819	0.0581	0.0111	0.0685	0	0.0402	0.0164	0.083	0	0	0.035
Myocytes	0.0085	0	0	0.0238	0.0117	0	0	0.0273	0.0257	0	0.0155	0.0235	0.0112	0.0199	0.0026	0	0.0126	0.0083	0.0083	0	0.0033	0.0014	0.0369	0.0038	0.0197	0.0279	0.0016	0.0133	0.0142	0	0.009	4e-04	0.01	0	0.0044	0	0.0291	0.0133	0	0.0035	0.074	0	0.0146	0	0	0	0	0.0115	0.0068	0.0097	0.0143	0	0.0154	0.0105	0	0	0.0086	0	0.0088	0.0064	0.0082	0.0222	0.0342	0.004	0.0068	0.0032	0.0145	0.0575	0	6e-04
NK cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NKT	0.0259	0.0572	0.088	0	0.0865	0.1948	0.0253	0.0895	0.0399	0.0887	0	0	0.0107	0.0128	0	0.1038	0.0249	0.1423	0.1443	0.078	0.0403	0.038	0	0.2781	0.0217	0	6e-04	0	0.0631	0.0947	0	0.0428	0.0289	0	0.0595	0.0833	0.0096	0.0298	0.0247	0.0398	0	0.0536	0.0763	0.0044	0	0.0514	0.0339	0	0.051	0.0487	0	0.0412	0.0133	0.0363	0.0974	0	0	0.0166	0.0656	0.0315	0.0234	0.0467	0.0404	0.0138	0	0.0071	0.062	0.0313	0.0312	0.0145
Neurons	0.0151	0	0.0101	0.0205	0.0034	0.0151	0.0058	0.0317	0.0097	0.0097	0.0135	0.034	0.0157	0.0177	0.0044	0.0027	0.0187	0.015	0.0273	0.0117	0.0122	0.0118	0.0103	0.028	0.0185	0.0148	0.0101	0.0208	0.0324	0.0191	0.0069	0.0184	0.0093	0.0073	0.0208	0.0086	0.0187	0.0201	0.0147	0.0166	0.0307	0.0262	0.0318	0	0.005	0.0277	0.0178	0.004	0.0123	0.0177	0.016	0.0165	0.0108	0.0141	0.017	0.0115	0.0181	0.0108	0.0124	0.0172	0.0113	0.0165	0.0068	0.0188	0.0139	0.0097	0.0123	0.0149	0.0233	0.0169
Neutrophils	0	0	0	0.0062	0	0	0	0	0	0.0077	0.0011	8e-04	7e-04	1e-04	0	0	0	0.0046	0	0	0	0	0	0	0	0	0	0	6e-04	0.0052	0	0	0	0	0	0	0	0	3e-04	1e-04	0	0	0.0033	0	0.0031	0	0	0	0.0052	0	0	0	0	0.0019	5e-04	0	0	0	0.0039	0	0	0	0	0	5e-04	0.0023	0	0.0017	0	0.0049
Osteoblast	0.0429	0	0	0	0	0	0	0.0038	0.0032	0.0169	0.0021	0	0	0.0581	0.0194	0	0.0393	0.0132	0.027	0	0	0	0.0214	0.0099	0.0126	0.0445	0.0042	0.0284	0.0445	0.0186	0.0098	0	0.0088	0	0.0334	0	0	0.0568	0	0	0.032	0	0.0327	0	0	0	0	0.0078	0.0402	0	0	0	0	0.0137	0	0	0.0212	0	0.0248	0	0.0836	0	0	0	0	0	0	0.1326	0.0511	0.0894
Pericytes	0	0	0.0355	0.0344	0	0	0.0108	0.0354	0	0.0172	0	0	0.1224	0	0.0209	0	0	0.0326	0.0625	0.0375	0.0393	0	0.0311	0.0464	0	0.0255	0.0318	0	0	0	0	0	0	0	0	0	0.0473	0.0139	0	0	0.0289	0.0131	0	0	0	0	0	0	0	0	0	0	0.0983	0	0	0	0	0	0	0	0	0	0	0.0477	0	0.0118	0	0	0	0
Plasma cells	0.0051	0	0	0	0	0.0093	0.0143	0.0037	0.0051	0.001	0.0086	0	0.006	0.0071	0.0093	0	0.0082	0.0044	0.0048	0	0.0052	0.0082	0.0161	0	0.0081	0.0128	0.0031	0.0083	0.0367	0.0045	0.0022	0.0058	0.004	0.0027	0.006	0.0084	0	0.0044	0.0058	0.004	0.0055	0.0051	0.0063	0	0.0098	0.0019	0.0086	0.0047	0.0129	0.0148	0.0083	0.0063	0.0105	0.003	0.0026	0.0055	0.0081	0.0169	0.0083	0.0046	0.0048	0.0049	0.0203	0.0094	0	0.0041	0.0189	0.004	0.0186	0.0124
Platelets	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013	0	0	0	0	0	0	0	0	0.0069	0	0	0	0.0058	0	0	0.005	0	0	0	0	0.0064	0.0063	9e-04	0	0.0222	0	0	0	0	0.0128	0	0	0	0.005	0	0	0	4e-04	0	0	0	9e-04	0	0	0.0023	0.0019	0.0169	0	0	0	0.0112	0.0124	0.0018	0
